Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35672370,"Dark Pines (Tuva Moodyson Mystery, #1)",Will Dean,"Dean, Will",,"=""178607253X""","=""9781786072535""",0,3.69,OneWorld Publications Point Blank,Paperback,328,2018,2018,,2023/01/13,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",5,4.12,Dutton Books,Hardcover,313,2012,2012,2023/01/13,2023/01/10,,,read,,,,1,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",0,4.30,Grand Central Publishing,ebook,336,2021,2018,2023/01/10,2023/01/03,,,read,,,,1,0
40117,The Unconsoled,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""057122539X""","=""9780571225392""",0,3.59,Faber and Faber,Paperback,535,1995,1995,,2023/01/03,,,read,,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,4.16,Bloomsbury Publishing,Paperback,419,2020,2015,,2023/01/03,,,read,,,,1,0
31129501,"Successor's Promise (Millennium's Rule, #3)",Trudi Canavan,"Canavan, Trudi",,"=""0356501175""","=""9780356501178""",0,4.07,Orbit Books,Paperback,512,2017,2017,,2023/01/03,,,read,,,,1,0
56294820,"Oh William! (Amgash, #3)",Elizabeth Strout,"Strout, Elizabeth",,"=""0812989430""","=""9780812989434""",0,3.86,Random House,Hardcover,240,2021,2021,,2022/06/22,to-read,to-read (#18),to-read,,,,0,0
25110661,"The Actual One: How I Tried, and Failed, to Avoid Adulthood Forever",Isy Suttie,"Suttie, Isy",,"=""1409151670""","=""9781409151678""",0,3.43,Orion Publishing,Hardcover,288,2016,2016,,2022/06/22,to-read,to-read (#17),to-read,,,,0,0
57313311,The Audacity,Katherine Ryan,"Ryan, Katherine",,"=""""","=""""",0,4.13,,Kindle Edition,294,2021,,,2022/06/22,,,read,,,,1,0
69136,"The Book of Lost Things (The Book of Lost Things, #1)",John Connolly,"Connolly, John",,"=""0743298853""","=""9780743298858""",0,3.96,Atria Books,Hardcover,339,2006,2006,,2022/06/22,to-read,to-read (#16),to-read,,,,0,0
55711675,The Startup Wife,Tahmima Anam,"Anam, Tahmima",,"=""198215618X""","=""9781982156183""",5,3.55,Scribner,Hardcover,304,2021,2021,,2022/03/17,,,read,,,,1,0
48616787,The Lying Life of Adults,Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1609455916""","=""9781609455910""",0,3.67,Europa Editions,Hardcover,336,2020,2019,,2022/03/17,,,read,,,,1,0
42975172,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",5,4.20,Nan A. Talese,Hardcover,422,2019,2019,,2022/02/02,,,read,,,,1,0
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",5,3.98,Viking,Hardcover,288,2020,2020,2022/02/02,2021/01/10,,,read,,,,1,0
53733106,No One Is Talking About This,Patricia Lockwood,"Lockwood, Patricia",,"=""0593189582""","=""9780593189580""",0,3.55,Riverhead Books,Hardcover,210,2021,2021,,2022/01/09,to-read,to-read (#15),to-read,,,,0,0
25733573,Reasons to Stay Alive,Matt Haig,"Haig, Matt",,"=""0143128728""","=""9780143128724""",0,4.06,Penguin Life,Paperback,256,2016,2015,,2021/09/19,,,read,,,,1,0
